n,TotalOps,Assignments,ArrayLookups,Comparisons,Arithmetic,MethodCalls,Returns
5877,1485458749,449085077,414516554,138215287,483641829,1,1
5878,1485964249,449237902,414657618,138262317,483806409,1,1
5879,1486469856,449390758,414798713,138309355,483971027,1,1
5880,1486975531,449543636,414939826,138356401,484135665,1,1
5881,1487481295,449696541,415080964,138403455,484300333,1,1
5882,1487987163,449849475,415222132,138450517,484465036,1,1
5883,1488493108,450002434,415363321,138497587,484629763,1,1
5884,1488999139,450155419,415504534,138544665,484794519,1,1
5885,1489505241,450308426,415645766,138591751,484959295,1,1
5886,1490011453,450461465,415787030,138638845,485124111,1,1
5887,1490517742,450614527,415928315,138685947,485288950,1,1
5888,1491024090,450767610,416069615,138733057,485453805,1,1
5889,1491530560,450920727,416210951,138780175,485618705,1,1
5890,1492037104,451073867,416352307,138827301,485783627,1,1
5891,1492543743,451227035,416493690,138874435,485948581,1,1
5892,1493050450,451380225,416635091,138921577,486113555,1,1
5893,1493557255,451533443,416776520,138968727,486278562,1,1
5894,1494064140,451686687,416917971,139015885,486443595,1,1
5895,1494571111,451839956,417059446,139063051,486608655,1,1
5896,1495078177,451993253,417200948,139110225,486773748,1,1
5897,1495585332,452146577,417342475,139157407,486938870,1,1
5898,1496092546,452299921,417484017,139204597,487104008,1,1
5899,1496599873,452453297,417625592,139251795,487269186,1,1
5900,1497107283,452606699,417767190,139299001,487434391,1,1
5901,1497614770,452760124,417908809,139346215,487599619,1,1
5902,1498122340,452913575,418050451,139393437,487764875,1,1
5903,1498629999,453067052,418192118,139440667,487930159,1,1
5904,1499137762,453220559,418333815,139487905,488095480,1,1
5905,1499645590,453374088,418475529,139535151,488260819,1,1
5906,1500153504,453527643,418617267,139582405,488426187,1,1
5907,1500661519,453681227,418759034,139629667,488591589,1,1
5908,1501169611,453834835,418900822,139676937,488757015,1,1
5909,1501677789,453988469,419042634,139724215,488922469,1,1
5910,1502186056,454142129,419184471,139771501,489087952,1,1
5911,1502694397,454295813,419326328,139818795,489253458,1,1
5912,1503202836,454449526,419468213,139866097,489418997,1,1
5913,1503711355,454603263,419610120,139913407,489584562,1,1
5914,1504219942,454757023,419752045,139960725,489750147,1,1
5915,1504728651,454910816,419894006,140008051,489915775,1,1
5916,1505237428,455064631,420035985,140055385,490081424,1,1
5917,1505746303,455218475,420177992,140102727,490247106,1,1
5918,1506255252,455372343,420320019,140150077,490412811,1,1
5919,1506764290,455526237,420462071,140197435,490578545,1,1
5920,1507273417,455680157,420604148,140244801,490744308,1,1
5921,1507782627,455834103,420746248,140292175,490910098,1,1
5922,1508291908,455988072,420888367,140339557,491075909,1,1
5923,1508801290,456142070,421030515,140386947,491241755,1,1
5924,1509310770,456296097,421172691,140434345,491407635,1,1
5925,1509820324,456450147,421314887,140481751,491573537,1,1
5926,1510329967,456604223,421457108,140529165,491739468,1,1
5927,1510839702,456758327,421599355,140576587,491905430,1,1
5928,1511349508,456912454,421741621,140624017,492071413,1,1
5929,1511859400,457066607,421883911,140671455,492237425,1,1
5930,1512369387,457220787,422026228,140718901,492403468,1,1
5931,1512879457,457374993,422168568,140766355,492569538,1,1
5932,1513389610,457529225,422310931,140813817,492735635,1,1
5933,1513899852,457683483,422453319,140861287,492901761,1,1
5934,1514410189,457837769,422595734,140908765,493067919,1,1
5935,1514920594,457992077,422738167,140956251,493234097,1,1
5936,1515431100,458146414,422880629,141003745,493400309,1,1
5937,1515941686,458300776,423023113,141051247,493566547,1,1
5938,1516452340,458455160,423165615,141098757,493732805,1,1
5939,1516963110,458609577,423308151,141146275,493899105,1,1
5940,1517473957,458764017,423450708,141193801,494065428,1,1
5941,1517984884,458918483,423593287,141241335,494231777,1,1
5942,1518495912,459072977,423735895,141288877,494398160,1,1
5943,1519006993,459227491,423878516,141336427,494564557,1,1
5944,1519518196,459382038,424021173,141383985,494730997,1,1
5945,1520029461,459536606,424163846,141431551,494897455,1,1
5946,1520540827,459691203,424306548,141479125,495063948,1,1
5947,1521052276,459845826,424449273,141526707,495230467,1,1
5948,1521563814,460000475,424592023,141574297,495397016,1,1
5949,1522075420,460155147,424734791,141621895,495563585,1,1
5950,1522587136,460309849,424877591,141669501,495730192,1,1
5951,1523098914,460464573,425020407,141717115,495896817,1,1
5952,1523610796,460619326,425163253,141764737,496063477,1,1
5953,1524122746,460774101,425306117,141812367,496230158,1,1
5954,1524634794,460928905,425449009,141860005,496396872,1,1
5955,1525146934,461083737,425591927,141907651,496563617,1,1
5956,1525659151,461238592,425734866,141955305,496730385,1,1
5957,1526171460,461393475,425877831,142002967,496897185,1,1
5958,1526683858,461548384,426020821,142050637,497064013,1,1
5959,1527196342,461703319,426163835,142098315,497230870,1,1
5960,1527708900,461858278,426306869,142146001,497397749,1,1
5961,1528221547,462013263,426449928,142193695,497564658,1,1
5962,1528734277,462168274,426593010,142241397,497731593,1,1
5963,1529247105,462323313,426736120,142289107,497898562,1,1
5964,1529760010,462478377,426879251,142336825,498065555,1,1
5965,1530273019,462633470,427022412,142384551,498232583,1,1
5966,1530786093,462788585,427165590,142432285,498399631,1,1
5967,1531299250,462943725,427308791,142480027,498566705,1,1
5968,1531812505,463098893,427452020,142527777,498733812,1,1
5969,1532325852,463254089,427595275,142575535,498900950,1,1
5970,1532839267,463409307,427738548,142623301,499068108,1,1
5971,1533352774,463564553,427881847,142671075,499235297,1,1
5972,1533866364,463719823,428025169,142718857,499402512,1,1
5973,1534380055,463875123,428168520,142766647,499569762,1,1
5974,1534893820,464030447,428311891,142814445,499737035,1,1
5975,1535407674,464185797,428455287,142862251,499904337,1,1
5976,1535921626,464341175,428598711,142910065,500071672,1,1
5977,1536435637,464496574,428742150,142957887,500239023,1,1
5978,1536949755,464652003,428885620,143005717,500406412,1,1
5979,1537463941,464807455,429029108,143053555,500573821,1,1
5980,1537978222,464962934,429172623,143101401,500741261,1,1
5981,1538492613,465118445,429316170,143149255,500908741,1,1
5982,1539007072,465273977,429459735,143197117,501076240,1,1
5983,1539521617,465429536,429603324,143244987,501243767,1,1
5984,1540036221,465585115,429746928,143292865,501411311,1,1
5985,1540550941,465740726,429890566,143340751,501578895,1,1
5986,1541065735,465896361,430034224,143388645,501746503,1,1
5987,1541580627,466052024,430177910,143436547,501914143,1,1
5988,1542095611,466207715,430321622,143484457,502081815,1,1
5989,1542610660,466363427,430465351,143532375,502249505,1,1
5990,1543125807,466519167,430609108,143580301,502417228,1,1
5991,1543641019,466674929,430752882,143628235,502584970,1,1
5992,1544156344,466830723,430896689,143676177,502752752,1,1
5993,1544671734,466986539,431040513,143724127,502920553,1,1
5994,1545187243,467142387,431184372,143772085,503088396,1,1
5995,1545702817,467298257,431328248,143820051,503256258,1,1
5996,1546218480,467454154,431472149,143868025,503424149,1,1
5997,1546734223,467610075,431616072,143916007,503592066,1,1
5998,1547250064,467766025,431760023,143963997,503760016,1,1
5999,1547765964,467921995,431903989,144011995,503927982,1,1
6000,1548281974,468077997,432047987,144060001,504095987,1,1
6001,1548798061,468234022,432192006,144108015,504264015,1,1
6002,1549314240,468390075,432336051,144156037,504432075,1,1
6003,1549830499,468546152,432480118,144204067,504600159,1,1
6004,1550346841,468702255,432624208,144252105,504768271,1,1
6005,1550863290,468858388,432768329,144300151,504936419,1,1
6006,1551379807,469014543,432912468,144348205,505104588,1,1
6007,1551896410,469170725,433056631,144396267,505272785,1,1
6008,1552413096,469326931,433200817,144444337,505441008,1,1
6009,1552929880,469483167,433345031,144492415,505609265,1,1
6010,1553446756,469639429,433489271,144540501,505777552,1,1
6011,1553963694,469795713,433633527,144588595,505945857,1,1
6012,1554480739,469952027,433777814,144636697,506114199,1,1
6013,1554997840,470108360,433922115,144684807,506282555,1,1
6014,1555515063,470264727,434066452,144732925,506450956,1,1
6015,1556032342,470421114,434210803,144781051,506619371,1,1
6016,1556549737,470577533,434355188,144829185,506787828,1,1
6017,1557067200,470733975,434499591,144877327,506956305,1,1
6018,1557584752,470890443,434644019,144925477,507124811,1,1
6019,1558102393,471046937,434788472,144973635,507293346,1,1
6020,1558620117,471203457,434932948,145021801,507461908,1,1
6021,1559137924,471360003,435077447,145069975,507630497,1,1
6022,1559655835,471516578,435221976,145118157,507799121,1,1
6023,1560173814,471673175,435366523,145166347,507967766,1,1
6024,1560691873,471829797,435511092,145214545,508136436,1,1
6025,1561210015,471986445,435655684,145262751,508305133,1,1
6026,1561728267,472143123,435800308,145310965,508473868,1,1
6027,1562246587,472299824,435944950,145359187,508642623,1,1
6028,1562765002,472456553,436089619,145407417,508811411,1,1
