Number of digits (n),Total Primitive Operations,Assignments,Comparisons,Additions,Subtractions,Multiplications,Divisions,Modulos,MethodCalls,Returns
8561,141784537,50138819,20352719,9433385,3773354,11320063,16579363,5660031,15093417,9433386
8562,141815469,50150072,20357388,9435300,3774120,11322361,16583266,5661180,15096481,9435301
8563,141904197,50180180,20369202,9441780,3776712,11330137,16592488,5665068,15106849,9441781
8564,141857809,50164235,20362877,9438485,3775394,11326183,16587481,5663091,15101577,9438486
8565,141952617,50197834,20376539,9444760,3777904,11333713,16598633,5666856,15111617,9444761
8566,141891985,50177638,20368741,9440160,3776064,11328193,16592675,5664096,15104257,9440161
8567,141769329,50135351,20351925,9431505,3772602,11317807,16579321,5658903,15090409,9431506
8568,141965417,50202573,20378531,9445515,3778206,11334619,16600323,5667309,15112825,9445516
8569,141793193,50144863,20356131,9432605,3773042,11319127,16583087,5659563,15092169,9432606
8570,141956101,50201534,20378834,9443870,3777548,11332645,16601284,5666322,15110193,9443871
8571,141866353,50169618,20365821,9437980,3775192,11325577,16590627,5662788,15100769,9437981
8572,142177705,50276003,20407811,9460385,3784154,11352463,16623655,5676231,15136617,9460386
8573,142063921,50238031,20393125,9451785,3780714,11342143,16612409,5671071,15122857,9451786
8574,142138289,50265106,20404365,9456380,3782552,11347657,16621811,5673828,15130209,9456381
8575,141989169,50212975,20383397,9446185,3778474,11335423,16604921,5667711,15113897,9446186
8576,142113513,50255347,20400083,9455185,3782074,11346223,16618007,5673111,15128297,9455186
8577,142283413,50314106,20423510,9467090,3786836,11360509,16636672,5680254,15147345,9467091
8578,142190945,50283052,20411433,9460190,3784076,11352229,16627355,5676114,15136305,9460191
8579,142309805,50324893,20428356,9468185,3787274,11361823,16641080,5680911,15149097,9468186
8580,142271121,50311414,20422949,9465520,3786208,11358625,16636739,5679312,15144833,9465521
8581,142323925,50328763,20429566,9469635,3787854,11363563,16641710,5681781,15151417,9469636
8582,142305017,50323511,20427895,9467725,3787090,11361271,16640803,5680635,15148361,9467726
8583,142328745,50333230,20432267,9468700,3787480,11362441,16644785,5681220,15149921,9468701
8584,142414057,50361135,20442867,9475405,3790162,11370487,16652703,5685243,15160649,9475406
8585,142395017,50356180,20441427,9473330,3789332,11367997,16652093,5683998,15157329,9473331
8586,142386729,50352586,20439755,9473080,3789232,11367697,16650521,5683848,15156929,9473081
8587,142425793,50367498,20446161,9475180,3790072,11370217,16656087,5685108,15160289,9475181
8588,142480761,50385038,20452671,9479700,3791880,11375641,16660789,5687820,15167521,9479701
8589,142459317,50379189,20450854,9477485,3790994,11372983,16659858,5686491,15163977,9477486
8590,142581609,50421470,20467707,9486060,3794424,11383273,16673281,5691636,15177697,9486061
8591,142501425,50394765,20457397,9479975,3791990,11375971,16665405,5687985,15167961,9479976
8592,142651637,50446023,20477606,9490815,3796326,11388979,16681278,5694489,15185305,9490816
8593,142661433,50449073,20478711,9491655,3796662,11389987,16682047,5694993,15186649,9491656
8594,142680413,50455494,20481224,9493050,3797220,11391661,16684002,5695830,15188881,9493051
8595,142682905,50457763,20482591,9492585,3797034,11391103,16685555,5695551,15188137,9492586
8596,142637485,50442687,20476788,9489115,3795646,11386939,16681140,5693469,15182585,9489116
8597,142659789,50449043,20478876,9491295,3796518,11389555,16682356,5694777,15186073,9491296
8598,142653045,50447794,20478734,9490330,3796132,11388397,16682600,5694198,15184529,9490331
8599,142730565,50475048,20489746,9495560,3798224,11394673,16691520,5697336,15192897,9495561
8600,142726689,50475464,20490489,9494490,3797796,11393389,16692691,5696694,15191185,9494491
8601,142781989,50494039,20497714,9498615,3799446,11398339,16698266,5699169,15197785,9498616
8602,142757037,50484291,20493460,9497375,3798950,11396851,16694508,5698425,15195801,9497376
8603,142859929,50520139,20507839,9504465,3801786,11405359,16706051,5702679,15207145,9504466
8604,142839453,50514235,20505872,9502495,3800998,11402995,16704872,5701497,15203993,9502496
8605,142902709,50536865,20515142,9506585,3802634,11407903,16712506,5703951,15210537,9506586
8606,142779709,50493174,20497344,9498490,3799396,11398189,16697946,5699094,15197585,9498491
8607,142944953,50551728,20521151,9509430,3803772,11411317,16717377,5705658,15215089,9509431
8608,142894489,50533371,20513535,9506305,3802522,11407567,16711011,5703783,15210089,9506306
8609,142876741,50528380,20511922,9504540,3801816,11405449,16710104,5702724,15207265,9504541
8610,142957749,50555541,20522470,9510605,3804242,11412727,16718226,5706363,15216969,9510606
8611,143025477,50579527,20532218,9515095,3806038,11418115,16726178,5709057,15224153,9515096
8612,142817101,50509329,20504844,9499645,3799858,11399575,16704984,5699787,15199433,9499646
8613,142903957,50538457,20516158,9506145,3802458,11407375,16713698,5703687,15209833,9506146
8614,143152201,50623298,20549651,9524000,3809600,11428801,16740049,5714400,15238401,9524001
8615,143055909,50591245,20537282,9516685,3806674,11420023,16730606,5710011,15226697,9516686
8616,143220121,50647952,20559863,9528230,3811292,11433877,16748569,5716938,15245169,9528231
8617,143037813,50586289,20535734,9514825,3805930,11417791,16729802,5708895,15223721,9514826
8618,143119505,50613473,20546221,9521035,3808414,11425243,16737805,5712621,15233657,9521036
8619,143242145,50656764,20563769,9529230,3811692,11435077,16752075,5717538,15246769,9529231
8620,143235561,50654429,20562819,9528795,3811518,11434555,16751299,5717277,15246073,9528796
8621,143297197,50673939,20570004,9533935,3813574,11440723,16756428,5720361,15254297,9533936
8622,143199741,50643834,20559184,9525470,3810188,11430565,16748994,5715282,15240753,9525471
8623,143386325,50707921,20584590,9538745,3815498,11446495,16769090,5723247,15261993,9538746
8624,143145629,50624390,20551192,9522010,3808804,11426413,16742386,5713206,15235217,9522011
8625,143389801,50708669,20584739,9539195,3815678,11447035,16769059,5723517,15262713,9539196
8626,143472073,50736803,20595851,9545105,3818042,11454127,16777807,5727063,15272169,9545106
8627,143265065,50666618,20568331,9529960,3811984,11435953,16756345,5717976,15247937,9529961
8628,143406505,50715360,20587707,9539950,3815980,11447941,16771725,5723970,15263921,9539951
8629,143390721,50709646,20585345,9538960,3815584,11446753,16769759,5723376,15262337,9538961
8630,143484785,50741289,20597669,9545955,3818382,11455147,16779285,5727573,15273529,9545956
8631,143381805,50707993,20585156,9537685,3815074,11445223,16770080,5722611,15260297,9537686
8632,143499169,50747293,20600401,9546495,3818598,11455795,16781801,5727897,15274393,9546496
8633,143463737,50734923,20595431,9544065,3817626,11452879,16777803,5726439,15270505,9544066
8634,143619865,50789304,20617239,9554830,3821932,11465797,16795305,5732898,15287729,9554831
8635,143523381,50758453,20605766,9546925,3818770,11456311,16786994,5728155,15275081,9546926
8636,143653201,50801286,20622165,9556960,3822784,11468353,16799379,5734176,15291137,9556961
8637,143738121,50831558,20634531,9562500,3825000,11475001,16809529,5737500,15300001,9562501
8638,143673413,50810303,20626426,9557455,3822982,11468947,16803442,5734473,15291929,9557456
8639,143663353,50807440,20625487,9556470,3822588,11467765,16802897,5733882,15290353,9556471
8640,143715461,50825662,20632818,9560030,3824012,11472037,16808804,5736018,15296049,9560031
8641,143753449,50838606,20637915,9562780,3825112,11475337,16812801,5737668,15300449,9562781
8642,143709809,50822275,20630997,9560285,3824114,11472343,16806881,5736171,15296457,9560286
8643,143798265,50854612,20644463,9565690,3826276,11478829,16818185,5739414,15305105,9565691
8644,143737925,50835090,20637122,9560850,3824340,11473021,16812780,5736510,15297361,9560851
8645,143848133,50872319,20651674,9568975,3827590,11482771,16824082,5741385,15310361,9568976
8646,143913533,50893062,20659328,9574410,3829764,11489293,16829562,5744646,15319057,9574411
8647,143820893,50862615,20647712,9567195,3826878,11480635,16820832,5740317,15307513,9567196
8648,143962369,50912398,20667841,9576720,3830688,11492065,16837151,5746032,15322753,9576721
8649,144024417,50934743,20677041,9580665,3832266,11496799,16844773,5748399,15329065,9580666
8650,143893237,50889470,20659022,9571430,3828572,11485717,16830448,5742858,15314289,9571431
8651,143941033,50906944,20666299,9574350,3829740,11489221,16836557,5744610,15318961,9574351
8652,144000721,50925986,20673365,9579260,3831704,11495113,16841659,5747556,15326817,9579261
8653,144079077,50953361,20684370,9584625,3833850,11501551,16850518,5750775,15335401,9584626
8654,144066309,50950222,20683538,9583150,3833260,11499781,16850276,5749890,15333041,9583151
8655,144113305,50966306,20689895,9586520,3834608,11503825,16855285,5751912,15338433,9586521
8656,144128861,50972940,20692952,9587040,3834816,11504449,16858134,5752224,15339265,9587041
8657,144205897,50999050,20703187,9592680,3837072,11511217,16866113,5755608,15348289,9592681
8658,144225725,51004850,20705152,9594550,3837820,11513461,16867330,5756730,15351281,9594551
8659,144191821,50994421,20701420,9591585,3836634,11509903,16864784,5754951,15346537,9591586
8660,143964873,50916829,20670779,9575275,3830110,11490331,16840667,5745165,15320441,9575276
8661,144322217,51038598,20718731,9601140,3840456,11521369,16878273,5760684,15361825,9601141
8662,144151121,50982134,20697109,9587920,3835168,11505505,16861939,5752752,15340673,9587921
8663,144297645,51031614,20716444,9598730,3839492,11518477,16876950,5759238,15357969,9598731
8664,144203909,50999310,20703602,9592110,3836844,11510533,16866756,5755266,15347377,9592111
8665,144325625,51040412,20719663,9601090,3840436,11521309,16879225,5760654,15361745,9601091
8666,144340465,51047337,20723013,9601315,3840526,11521579,16882485,5760789,15362105,9601316
8667,144377921,51060719,20728489,9603745,3841498,11524495,16886989,5762247,15365993,9603746
8668,144486349,51096827,20742428,9611975,3844790,11534371,16897636,5767185,15379161,9611976
8669,144435161,51080792,20736583,9607630,3843052,11529157,16893529,5764578,15372209,9607631
8670,144461757,51090009,20740264,9609485,3843794,11531383,16896468,5765691,15375177,9609486
8671,144387113,51065260,20730747,9603770,3841508,11524525,16889237,5762262,15366033,9603771
8672,144467289,51093028,20741831,9609370,3843748,11531245,16898081,5765622,15374993,9609371
8673,144531121,51115473,20750901,9613675,3845470,11536411,16905429,5768205,15381881,9613676
8674,144531077,51114406,20750130,9614150,3845660,11536981,16904468,5768490,15382641,9614151
8675,144632613,51149081,20763810,9621465,3848586,11545759,16915222,5772879,15394345,9621466
8676,144635529,51151628,20765331,9620970,3848388,11545165,16916941,5772582,15393553,9620971
8677,144627205,51149116,20764450,9620220,3848088,11544265,16916360,5772132,15392353,9620221
8678,144618573,51145768,20762996,9619780,3847912,11543737,16915082,5771868,15391649,9619781
8679,144671577,51164438,20770551,9623340,3849336,11548009,16921213,5774004,15397345,9623341
8680,144559069,51126367,20755648,9615075,3846030,11538091,16909616,5769045,15384121,9615076
8681,144745529,51190777,20781303,9628175,3851270,11553811,16930031,5776905,15405081,9628176
8682,144681629,51169475,20773072,9623335,3849334,11548003,16923736,5774001,15397337,9623336
8683,144739957,51190565,20781782,9627005,3850802,11552407,16930978,5776203,15403209,9627006
8684,144638941,51155160,20767512,9620140,3848056,11544169,16919454,5772084,15392225,9620141
8685,144881253,51237695,20800002,9637695,3855078,11565235,16944922,5782617,15420313,9637696
8686,144782729,51203096,20786035,9631030,3852412,11557237,16933621,5778618,15409649,9631031
8687,144823997,51217559,20791864,9633835,3853534,11560603,16938328,5780301,15414137,9633836
8688,144670353,51165960,20771797,9622370,3848948,11546845,16922847,5773422,15395793,9622371
8689,144828873,51221801,20794395,9633015,3853206,11559619,16941187,5779809,15412825,9633016
8690,144998389,51280599,20817894,9644815,3857926,11573779,16959966,5786889,15431705,9644816
8691,144974981,51271777,20814138,9643505,3857402,11572207,16956734,5786103,15429609,9643506
8692,145018997,51287603,20820646,9646315,3858526,11575579,16962118,5787789,15434105,9646316
8693,145157893,51335227,20839498,9656235,3862494,11587483,16977002,5793741,15449977,9656236
8694,145047437,51297852,20824868,9648120,3859248,11577745,16965618,5788872,15436993,9648121
8695,144960141,51268581,20813500,9641585,3856634,11569903,16956864,5784951,15426537,9641586
8696,145088545,51312862,20831113,9650640,3860256,11580769,16970855,5790384,15441025,9650641
8697,145185269,51345197,20843638,9657925,3863170,11589511,16980466,5794755,15452681,9657926
8698,145167605,51340193,20842006,9656185,3862474,11587423,16979530,5793711,15449897,9656186
8699,145119341,51323530,20835372,9652790,3861116,11583349,16974254,5791674,15444465,9652791
8700,145230757,51361968,20850666,9660640,3864256,11592769,16986408,5796384,15457025,9660641
8701,145260989,51372805,20855112,9662585,3865034,11595103,16990076,5797551,15460137,9662586
8702,145087761,51314109,20832109,9649895,3859958,11579875,16972149,5789937,15439833,9649896
8703,145209125,51355090,20848122,9658850,3863540,11590621,16984580,5795310,15454161,9658851
8704,145423597,51430448,20878556,9673340,3869336,11608009,17009218,5804004,15477345,9673341
8705,145385885,51417136,20873160,9670820,3868328,11604985,17004830,5802492,15473313,9670821
8706,145293721,51386311,20861215,9663885,3865554,11596663,16995659,5798331,15462217,9663886
8707,145531641,51467497,20893223,9681055,3872422,11617267,17020799,5808633,15489689,9681056
8708,145366217,51410371,20870475,9669425,3867770,11603311,17002703,5801655,15471081,9669426
8709,145529085,51466879,20893064,9680755,3872302,11616907,17020760,5808453,15489209,9680756
8710,145638049,51504047,20907713,9688625,3875450,11626351,17032261,5813175,15501801,9688626
8711,145628641,51504359,20909009,9686345,3874538,11623615,17034469,5811807,15498153,9686346
8712,145484041,51453091,20888155,9676785,3870714,11612143,17017439,5806071,15482857,9676786
8713,145656005,51512222,20911618,9688990,3875596,11626789,17036020,5813394,15502385,9688991
8714,145616333,51499206,20906660,9685890,3874356,11623069,17032302,5811534,15497425,9685891
8715,145585705,51488941,20902675,9683595,3873438,11620315,17029235,5810157,15493753,9683596
8716,145593057,51492705,20904577,9683555,3873422,11620267,17031153,5810133,15493689,9683556
8717,145646249,51510633,20911571,9687495,3874998,11624995,17036571,5812497,15499993,9687496
8718,145680153,51522041,20916015,9690015,3876006,11628019,17040007,5814009,15504025,9690016
8719,145604005,51493878,20904186,9685510,3874204,11622613,17029980,5811306,15496817,9685511
8720,145894201,51595042,20944783,9705480,3882192,11646577,17062589,5823288,15528769,9705481
8721,145757485,51549795,20927412,9694975,3877990,11633971,17049420,5816985,15511961,9694976
8722,145803157,51565118,20933366,9698390,3879356,11638069,17054008,5819034,15517425,9698391
8723,145741677,51544960,20925692,9693580,3877432,11632297,17048258,5816148,15509729,9693581
8724,145970889,51622419,20955979,9710465,3884186,11652559,17071791,5826279,15536745,9710466
8725,145744425,51545223,20925571,9694085,3877634,11632903,17047935,5816451,15510537,9694086
8726,145871849,51588486,20942555,9703380,3881352,11644057,17061201,5822028,15525409,9703381
8727,145912249,51604121,20949335,9705455,3882182,11646547,17067151,5823273,15528729,9705456
8728,145994249,51633516,20961395,9710730,3884292,11652877,17077101,5826438,15537169,9710731
8729,146066417,51657863,20970901,9716065,3886426,11659279,17084473,5829639,15545705,9716066
8730,145984337,51629990,20959957,9710080,3884032,11652097,17075923,5826048,15536129,9710081
8731,146074501,51662092,20973058,9715980,3886392,11659177,17086664,5829588,15545569,9715981
8732,146151485,51688979,20983864,9721255,3888502,11665507,17095360,5832753,15554009,9721256
8733,146035393,51647961,20967225,9713515,3885406,11656219,17081817,5828109,15541625,9713516
8734,145910505,51604767,20950003,9704765,3881906,11645719,17068095,5822859,15527625,9704766
8735,146108705,51674354,20978089,9718180,3887272,11661817,17090815,5830908,15549089,9718181
8736,146166337,51693105,20985177,9722755,3889102,11667307,17096073,5833653,15556409,9722756
8737,146256733,51725532,20998488,9728560,3891424,11674273,17107062,5837136,15565697,9728561
8738,146200281,51705281,20990175,9724935,3889974,11669923,17100199,5834961,15559897,9724936
8739,146310501,51744430,21006122,9732190,3892876,11678629,17113244,5839314,15571505,9732191
8740,146241645,51720826,20996780,9727270,3890908,11672725,17105870,5836362,15563633,9727271
8741,146358305,51761105,21012817,9735475,3894190,11682571,17118625,5841285,15576761,9735476
8742,146222325,51714807,20994598,9725615,3890246,11670739,17104350,5835369,15560985,9725616
8743,146197085,51706631,20991520,9723595,3889438,11668315,17102080,5834157,15557753,9723596
8744,146378057,51767538,21015251,9737040,3894816,11684449,17120433,5842224,15579265,9737041
8745,146291869,51739195,21004432,9730335,3892134,11676403,17112296,5838201,15568537,9730336
8746,146426489,51785781,21023015,9739755,3895902,11687707,17127111,5843853,15583609,9739756
8747,146349853,51759376,21012520,9734340,3893736,11681209,17118782,5840604,15574945,9734341
8748,146543933,51827343,21039896,9747555,3899022,11697067,17140872,5848533,15596089,9747556
8749,146387197,51772889,21018104,9736685,3894674,11684023,17123428,5842011,15578697,9736686
8750,146405369,51780237,21021383,9737475,3894990,11684971,17126391,5842485,15579961,9737476
8751,146489161,51808966,21032755,9743460,3897384,11692153,17135369,5846076,15589537,9743461
8752,146537137,51825309,21039189,9746935,3898774,11696323,17140413,5848161,15595097,9746936
8753,146642669,51862257,21054068,9754125,3901650,11704951,17152416,5852475,15606601,9754126
8754,146517329,51821059,21038349,9744365,3897746,11693239,17140601,5846619,15590985,9744366
8755,146632769,51858066,21052145,9753780,3901512,11704537,17150631,5852268,15606049,9753781
8756,146741813,51898046,21068830,9760390,3904156,11712469,17164672,5856234,15616625,9760391
8757,146650777,51866300,21056087,9754130,3901652,11704957,17154433,5852478,15606609,9754131
8758,146688077,51878669,21060844,9756985,3902794,11708383,17158048,5854191,15611177,9756986
8759,146727093,51892226,21066270,9759690,3903876,11711629,17162392,5855814,15615505,9759691
8760,146761037,51904754,21071524,9761710,3904684,11714053,17166838,5857026,15618737,9761711
8761,146766001,51904629,21070869,9762895,3905158,11715475,17165709,5857737,15620633,9762896
8762,146685501,51880230,21062272,9755690,3902276,11706829,17159994,5853414,15609105,9755691
8763,146876749,51945021,21087660,9769705,3907882,11723647,17179776,5861823,15631529,9769706
8764,146845753,51936079,21084679,9766725,3906690,11720071,17177987,5860035,15626761,9766726
8765,146866053,51941906,21086610,9768690,3907476,11722429,17179132,5861214,15629905,9768691
8766,146707181,51888419,21065764,9756895,3902758,11708275,17163004,5854137,15611033,9756896
8767,146804305,51922505,21079517,9763475,3905390,11716171,17174125,5858085,15621561,9763476
8768,146907249,51955904,21092109,9771690,3908676,11726029,17183431,5863014,15634705,9771691
8769,146956637,51973349,21099184,9774985,3909994,11729983,17189188,5864991,15639977,9774986
8770,146958157,51975198,21100356,9774490,3909796,11729389,17190558,5864694,15639185,9774491
8771,146976617,51981392,21102763,9775870,3910348,11731045,17192413,5865522,15641393,9775871
8772,147050293,52007582,21113438,9780710,3912284,11736853,17201152,5868426,15649137,9780711
8773,147021881,51997666,21109455,9778760,3911504,11734513,17197949,5867256,15646017,9778761
8774,147155113,52043899,21127939,9788025,3915210,11745631,17212727,5872815,15660841,9788026
8775,147150025,52041773,21126971,9787835,3915134,11745403,17211835,5872701,15660537,9787836
8776,147096309,52023275,21119622,9784035,3913614,11740843,17206006,5870421,15654457,9784036
8777,147267089,52082815,21143517,9795785,3918314,11754943,17225201,5877471,15673257,9795786
8778,147178973,52052485,21131472,9789545,3915818,11747455,17215652,5873727,15663273,9789546
8779,147208545,52064433,21136801,9790835,3916334,11749003,17220465,5874501,15665337,9790836
8780,147216945,52067390,21137997,9791400,3916560,11749681,17221435,5874840,15666241,9791401
8781,147228589,52071177,21139428,9792325,3916930,11750791,17222496,5875395,15667721,9792326
8782,147313313,52101054,21151529,9798000,3919200,11757601,17232327,5878800,15676801,9798001
8783,147305137,52097956,21150205,9797550,3919020,11757061,17231183,5878530,15676081,9797551
8784,147303093,52098749,21151014,9796725,3918690,11756071,17232322,5878035,15674761,9796726
8785,147424457,52139609,21166939,9805735,3922294,11766883,17244643,5883441,15689177,9805736
8786,147287441,52093871,21149245,9795385,3918154,11754463,17231089,5877231,15672617,9795386
8787,147307925,52099009,21150654,9797705,3919082,11757247,17231570,5878623,15676329,9797706
8788,147481237,52158363,21174126,9810115,3924046,11772139,17250078,5886069,15696185,9810116
8789,147344977,52114664,21157829,9799010,3919604,11758813,17238223,5879406,15678417,9799011
8790,147552993,52184044,21184649,9814750,3925900,11777701,17258747,5888850,15703601,9814751
8791,147473237,52159269,21175694,9807885,3923154,11769463,17252538,5884731,15692617,9807886
8792,147484125,52161413,21176016,9809385,3923754,11771263,17252260,5885631,15695017,9809386
8793,147495045,52166312,21178338,9809640,3923856,11771569,17254480,5885784,15695425,9809641
8794,147423273,52142031,21168835,9804365,3921746,11765239,17247087,5882619,15686985,9804366
8795,147553909,52187956,21187390,9813180,3925272,11775817,17262116,5887908,15701089,9813181
8796,147495729,52168018,21179501,9809020,3923608,11770825,17255891,5885412,15694433,9809021
8797,147612417,52207464,21194929,9817610,3927044,11781133,17267883,5890566,15708177,9817611
8798,147580773,52197373,21191186,9815005,3926002,11778007,17265182,5889003,15704009,9815006
8799,147719241,52244321,21209595,9825135,3930054,11790163,17279539,5895081,15720217,9825136
8800,147717765,52243528,21209186,9825160,3930064,11790193,17279120,5895096,15720257,9825161
8801,147781593,52266752,21218823,9829110,3931644,11794933,17287177,5897466,15726577,9829111
8802,147741733,52254181,21214210,9825765,3930306,11790919,17283902,5895459,15721225,9825766
8803,147885137,52301881,21232605,9836675,3934670,11804011,17297933,5902005,15738681,9836676
8804,147901353,52308658,21235691,9837280,3934912,11804737,17300777,5902368,15739649,9837281
8805,147890845,52306176,21235080,9836020,3934408,11803225,17300670,5901612,15737633,9836021
8806,147810773,52278614,21224134,9830350,3932140,11796421,17291992,5898210,15728561,9830351
8807,147903841,52309242,21235833,9837580,3935032,11805097,17300799,5902548,15740129,9837581
8808,147866781,52298511,21232240,9834035,3933614,11800843,17298624,5900421,15734457,9834036
8809,147932105,52320514,21240819,9838880,3935552,11806657,17305265,5903328,15742209,9838881
8810,147961385,52331524,21245499,9840530,3936212,11808637,17309285,5904318,15744849,9840531
8811,147946849,52325312,21242633,9840050,3936020,11808061,17306611,5904030,15744081,9840051
8812,148026621,52354506,21254800,9844910,3937964,11813893,17316834,5906946,15751857,9844911
8813,147933053,52321153,21241176,9838805,3935522,11806567,17305652,5903283,15742089,9838806
8814,148056893,52364670,21258752,9847170,3938868,11816605,17319882,5908302,15755473,9847171
8815,148037649,52359019,21256829,9845365,3938146,11814439,17318681,5907219,15752585,9845366
8816,148046569,52362797,21258563,9845675,3938270,11814811,17320291,5907405,15753081,9845676
8817,148043993,52362037,21258303,9845435,3938174,11814523,17320127,5907261,15752697,9845436
8818,148072005,52372259,21262554,9847155,3938862,11816587,17323690,5908293,15755449,9847156
8819,148204901,52417609,21280434,9856745,3942698,11828095,17337734,5914047,15770793,9856746
8820,148144873,52395988,21271531,9852930,3941172,11823517,17330357,5911758,15764689,9852931
8821,148287401,52447760,21292987,9861790,3944716,11834149,17348269,5917074,15778865,9861791
8822,148166845,52404334,21275104,9854130,3941652,11824957,17333450,5912478,15766609,9854131
8823,148360777,52472040,21302307,9867430,3946972,11840917,17355333,5920458,15787889,9867431
8824,148234905,52429168,21285431,9858310,3943324,11829973,17342105,5914986,15773297,9858311
8825,148215621,52422298,21282626,9857050,3942820,11828461,17339804,5914230,15771281,9857051
8826,148396441,52485769,21308239,9869295,3947718,11843155,17360519,5921577,15790873,9869296
8827,148261829,52438571,21289210,9860155,3944062,11832187,17345146,5916093,15776249,9860156
8828,148421889,52495864,21312689,9870490,3948196,11844589,17364491,5922294,15792785,9870491
8829,148304293,52452081,21294210,9863665,3945466,11836399,17348742,5918199,15781865,9863666
8830,148423357,52494046,21311200,9871650,3948660,11845981,17362538,5922990,15794641,9871651
8831,148510341,52524426,21323410,9877610,3951044,11853133,17372364,5926566,15804177,9877611
8832,148334057,52466732,21301483,9863770,3945508,11836525,17355973,5918262,15782033,9863771
8833,148501833,52522713,21323131,9876455,3950582,11851747,17372547,5925873,15802329,9876456
8834,148537577,52534029,21327299,9879435,3951774,11855323,17375523,5927661,15807097,9879436
8835,148514689,52527579,21325209,9877165,3950866,11852599,17374341,5926299,15803465,9877166
8836,148636105,52569411,21341835,9885745,3954298,11862895,17387535,5931447,15817193,9885746
8837,148530425,52534974,21328799,9877380,3950952,11852857,17377845,5926428,15803809,9877381
8838,148683097,52586109,21348639,9888835,3955534,11866603,17393103,5933301,15822137,9888836
8839,148585021,52553714,21336224,9881270,3952508,11857525,17383714,5928762,15810033,9881271
8840,148830541,52638293,21369836,9898625,3959450,11878351,17410384,5939175,15837801,9898626
8841,148734361,52606384,21357559,9891270,3956508,11869525,17401049,5934762,15826033,9891271
8842,148773485,52618499,21361924,9894655,3957862,11873587,17404060,5936793,15831449,9894656
8843,148834985,52640174,21370699,9898780,3959512,11878537,17411185,5939268,15838049,9898781
8844,148752569,52613816,21360895,9892030,3956812,11870437,17404081,5935218,15827249,9892031
8845,148738905,52607864,21358119,9891630,3956652,11869957,17401465,5934978,15826609,9891631
8846,148825525,52636522,21369118,9898290,3959316,11877949,17409800,5938974,15837265,9898291
8847,148899093,52664143,21380846,9902455,3960982,11882947,17419862,5941473,15843929,9902456
8848,148792781,52627333,21366156,9895025,3958010,11874031,17408144,5937015,15832041,9895026
8849,148780785,52623931,21365045,9893845,3957538,11872615,17407505,5936307,15830153,9893846
8850,148904853,52666539,21381934,9902675,3961070,11883211,17420862,5941605,15844281,9902676
8851,148920585,52671380,21383667,9904050,3961620,11884861,17422045,5942430,15846481,9904051
8852,148929025,52676106,21386145,9903820,3961528,11884585,17424615,5942292,15846113,9903821
8853,148965477,52687050,21389962,9907130,3962852,11888557,17427108,5944278,15851409,9907131
8854,148976717,52692846,21392900,9907050,3962820,11888461,17430078,5944230,15851281,9907051
8855,149090525,52731347,21407968,9915415,3966166,11898499,17441800,5949249,15864665,9915416
8856,149168301,52759070,21419292,9920490,3968196,11904589,17451094,5952294,15872785,9920491
8857,149156321,52754840,21417577,9919690,3967876,11903629,17449699,5951814,15871505,9919691
8858,149028885,52712253,21401086,9910085,3964034,11892103,17437050,5946051,15856137,9910086
8859,148988189,52698087,21395408,9907275,3962910,11888731,17432496,5944365,15851641,9907276
8860,149185657,52764877,21421543,9921795,3968718,11906155,17452823,5953077,15874873,9921796
8861,149116829,52742772,21413288,9916200,3966480,11899441,17446806,5949720,15865921,9916201
8862,149144373,52751528,21416526,9918480,3967392,11902177,17449132,5951088,15869569,9918481
8863,149200165,52771504,21424714,9922080,3968832,11906497,17455880,5953248,15875329,9922081
8864,149240409,52785565,21430367,9924835,3969934,11909803,17460431,5954901,15879737,9924836
8865,149209677,52774214,21425604,9923010,3969204,11907613,17456398,5953806,15876817,9923011
8866,149206905,52775369,21426759,9921855,3968742,11906227,17458015,5953113,15874969,9921856
8867,149240773,52786968,21431346,9924280,3969712,11909137,17461632,5954568,15878849,9924281
8868,149286109,52802222,21437288,9927650,3971060,11913181,17466226,5956590,15884241,9927651
8869,149234077,52786524,21431784,9922960,3969184,11907553,17462598,5953776,15876737,9922961
8870,149408061,52844168,21453936,9936300,3974520,11923561,17479414,5961780,15898081,9936301
8871,149343257,52821996,21445175,9931650,3972660,11917981,17472513,5958990,15890641,9931651
8872,149402805,52844268,21454606,9935060,3974024,11922073,17480580,5961036,15896097,9935061
8873,149304173,52809274,21440364,9928550,3971420,11914261,17468942,5957130,15885681,9928551
8874,149536541,52890852,21473288,9944280,3977712,11933137,17495574,5966568,15910849,9944281
8875,149466697,52865445,21462747,9939955,3975982,11927947,17486763,5963973,15903929,9939956
8876,149501909,52879091,21468670,9941755,3976702,11930107,17491966,5965053,15906809,9941756
8877,149444809,52858714,21460339,9938040,3975216,11925649,17485121,5962824,15900865,9938041
8878,149664037,52933700,21489962,9953780,3981512,11944537,17508448,5972268,15926049,9953781
8879,149582305,52907013,21479841,9947335,3978934,11936803,17500905,5968401,15915737,9947336
8880,149419705,52851508,21457951,9935610,3974244,11922733,17483705,5961366,15896977,9935611
8881,149542717,52893412,21474448,9944520,3977808,11933425,17496638,5966712,15911233,9944521
8882,149537897,52891321,21473475,9944375,3977750,11933251,17495723,5966625,15911001,9944376
8883,149764509,52970219,21505104,9960015,3984006,11952019,17521096,5976009,15936025,9960016
8884,149692257,52945093,21495041,9955015,3982006,11946019,17513033,5973009,15928025,9955016
