Number of digits (n),Total Primitive Operations,Assignments,Comparisons,Additions,Subtractions,Multiplications,Divisions,Modulos,MethodCalls,Returns
208,392353,138193,55921,26355,10542,31627,45377,15813,42169,26356
209,394913,139077,56273,26535,10614,31843,45657,15921,42457,26536
210,392653,138299,55964,26375,10550,31651,45412,15825,42201,26376
211,396049,139524,56469,26590,10636,31909,45831,15954,42545,26591
212,400489,141150,57147,26860,10744,32233,46401,16116,42977,26861
213,401381,141497,57298,26905,10762,32287,46534,16143,43049,26906
214,406633,143309,58019,27275,10910,32731,47107,16365,43641,27276
215,408493,143975,58292,27395,10958,32875,47332,16437,43833,27396
216,417141,146946,59470,28010,11204,33613,48264,16806,44817,28011
217,411137,144846,58625,27600,11040,33121,47583,16560,44161,27601
218,416685,146817,59428,27965,11186,33559,48240,16779,44745,27966
219,412269,145324,58844,27640,11056,33169,47786,16584,44225,27641
220,426081,150096,60745,28610,11444,34333,49299,17166,45777,28611
221,424749,149705,60612,28485,11394,34183,49216,17091,45577,28486
222,430681,151791,61455,28885,11554,34663,49899,17331,46217,28886
223,436001,153637,62193,29255,11702,35107,50489,17553,46809,29256
224,434773,153210,62022,29170,11668,35005,50352,17502,46673,29171
225,438329,154570,62607,29360,11744,35233,50861,17616,46977,29361
226,440393,155217,62843,29535,11814,35443,51027,17721,47257,29536
227,442145,155818,63081,29660,11864,35593,51215,17796,47457,29661
228,461181,162366,65680,31010,12404,37213,53274,18606,49617,31011
229,454305,160094,64809,30480,12192,36577,52615,18288,48769,30481
230,450525,158864,64344,30180,12072,36217,52270,18108,48289,30181
231,467493,164686,66650,31390,12556,37669,54092,18834,50225,31391
232,461373,162660,65872,30920,12368,37105,53502,18552,49473,30921
233,464929,163855,66337,31185,12474,37423,53861,18711,49897,31186
234,469405,165433,66976,31485,12594,37783,54380,18891,50377,31486
235,474965,167355,67742,31875,12750,38251,54990,19125,51001,31876
236,485045,170910,69182,32550,13020,39061,56160,19530,52081,32551
237,480097,169184,68489,32210,12884,38653,55603,19326,51537,32211
238,484013,170394,68924,32550,13020,39061,55902,19530,52081,32551
239,487393,171864,69609,32650,13060,39181,56547,19590,52241,32651
240,503733,177427,71798,33835,13534,40603,58262,20301,54137,33836
241,495881,174788,70771,33250,13300,39901,57469,19950,53201,33251
242,497445,175350,71002,33350,13340,40021,57660,20010,53361,33351
243,492277,173569,70294,32985,13194,39583,57098,19791,52777,32986
244,499741,176091,71280,33535,13414,40243,57864,20121,53657,33536
245,502953,177279,71779,33725,13490,40471,58287,20235,53961,33726
246,510645,180014,72894,34230,13692,41077,59200,20538,54769,34231
247,511081,180199,72979,34245,13698,41095,59279,20547,54793,34246
248,518005,182627,73958,34715,13886,41659,60070,20829,55545,34716
249,523981,184669,74764,35145,14058,42175,60704,21087,56233,35146
250,529093,186466,75490,35490,14196,42589,61292,21294,56785,35491
251,524445,184923,74896,35135,14054,42163,60840,21081,56217,35136
252,528433,186279,75429,35425,14170,42511,61257,21255,56681,35426
253,536225,189064,76569,35930,14372,43117,62195,21558,57489,35931
254,536761,189321,76695,35935,14374,43123,62319,21561,57497,35936
255,538833,189917,76893,36135,14454,43363,62437,21681,57817,36136
256,543193,191514,77559,36400,14560,43681,62997,21840,58241,36401
257,544881,192149,77829,36495,14598,43795,63229,21897,58393,36496
258,549273,193674,78439,36800,14720,44161,63717,22080,58881,36801
259,555933,196047,79408,37235,14894,44683,64512,22341,59577,37236
260,555993,196055,79407,37245,14898,44695,64507,22347,59593,37246
261,561841,198099,80229,37645,15058,45175,65169,22587,60233,37646
262,562665,198434,80379,37680,15072,45217,65305,22608,60289,37681
263,572153,201770,81727,38320,15328,45985,66397,22992,61313,38321
264,562469,198490,80442,37610,15044,45133,65396,22566,60177,37611
265,576261,203109,82234,38645,15458,46375,66774,23187,61833,38646
266,571753,201647,81683,38285,15314,45943,66367,22971,61257,38286
267,578381,204004,82644,38720,15488,46465,67154,23232,61953,38721
268,580549,204747,82938,38875,15550,46651,67386,23325,62201,38876
269,585605,206637,83738,39165,15666,46999,68070,23499,62665,39166
270,588221,207450,84032,39390,15756,47269,68274,23634,63025,39391
271,596813,210481,85260,39965,15986,47959,69272,23979,63945,39966
272,593437,209376,84840,39700,15880,47641,68958,23820,63521,39701
273,602653,212499,86064,40375,16150,48451,69912,24225,64601,40376
